State Abbreviation,Release Year,fips,Premature death ratio,Low birthweight ratio,Access to exercise opportunities ratio,Sexually transmitted infections ratio,Uninsured ratio,Primary care physicians ratio,Mental health providers ratio,date,county,state,cases,deaths,confirmed_cases,confirmed_deaths,ST,STATE,ST_ABBR,STCNTY,COUNTY,SumPop,Sum_HU,Sum_HH,Mean_EP_POV,Mean_EP_UNEMP,MEAN_EP_POV,MEAN_EP_UNEMP,MEAN_EP_PCI,MEAN_EP_NOHSDP,MEAN_EP_AGE65,MEAN_EP_AGE17,MEAN_EP_DISABL,MEAN_EP_SNGPNT,MEAN_EP_MUNIT,MEAN_EP_MOBILE,MEAN_EP_CROWD,MEAN_EP_NOVEH,MEAN_EP_GROUPQ,MEAN_EP_UNINSUR
TX,2020,48343,0.0076932216479534245,0.10309278350515463,0.3783825576001237,0.004090799711237668,0.1686262376237624,0.00016042351808775166,0.00024313153415998054,2020-10-09,Morris,Texas,194,4,194,108,48,TEXAS,TX,48343,Morris,12424,6047,5048,18.2,8.700000000000001,18.2,8.700000000000001,22620.333333333332,12.633333333333333,20.166666666666668,23.766666666666666,18.400000000000002,7.633333333333333,1.5333333333333332,9.166666666666666,4.266666666666667,6.7,1.5999999999999999,15.666666666666666
TX,2020,48345,0.009162717219589257,0.0,0.24958677685950414,0.0,0.220162224797219,0.0,0.0,2020-10-09,Motley,Texas,10,0,10,108,48,TEXAS,TX,48345,Motley,1156,786,465,9.6,7.7,9.6,7.7,26103.0,13.8,29.2,26.8,19.3,12.7,0.3,9.0,5.6,5.4,0.0,20.4
TX,2020,48347,0.004308232493766526,0.07900943396226415,0.6292387328745893,0.007837755413235743,0.22881223661620104,0.0007014333638304362,0.0009739617415653392,2020-10-09,Nacogdoches,Texas,1664,65,1664,17,48,TEXAS,TX,48347,Nacogdoches,65558,28332,23904,26.869230769230764,9.176923076923078,26.869230769230764,9.176923076923078,22416.46153846154,16.26923076923077,13.892307692307693,23.86923076923077,16.97692307692308,11.576923076923078,12.0,16.784615384615385,4.007692307692308,8.5,7.06923076923077,19.553846153846152
TX,2020,48349,0.005816807202877634,0.08423857347817176,0.5316015502252016,0.005318165951417836,0.224375,0.00045173610398143777,0.0006456168667406436,2020-10-09,Navarro,Texas,1794,37,1355,37,48,TEXAS,TX,48349,Navarro,48583,20763,17397,18.76,8.169999999999998,18.76,8.169999999999998,23019.9,21.490000000000002,17.15,25.409999999999997,17.28,10.829999999999998,2.76,17.360000000000003,4.73,6.92,2.3600000000000003,17.74
TX,2020,48351,0.007229733256772981,0.08934337997847147,0.11152647975077881,0.0019352064220183487,0.17510286097024208,0.0,0.00014549687181725592,2020-10-09,Newton,Texas,187,13,187,108,48,TEXAS,TX,48351,Newton,14057,7268,4978,20.974999999999998,8.95,20.974999999999998,8.95,21260.75,17.35,20.45,19.8,22.775000000000002,7.924999999999999,0.2,31.300000000000004,2.3499999999999996,6.075,0.75,17.325
TX,2020,48353,0.006268904283344716,0.08217270194986072,0.7636041009463722,0.006838185511171293,0.1791195817169843,0.00027081922816519973,0.0006101281269066504,2020-10-09,Nolan,Texas,291,5,291,108,48,TEXAS,TX,48353,Nolan,14966,7068,5469,16.46,6.92,16.46,6.92,26258.4,19.659999999999997,18.080000000000002,25.580000000000002,18.599999999999998,7.5,3.9799999999999995,10.319999999999999,4.54,9.040000000000001,1.98,16.0
TX,2020,48355,0.004581366955460074,0.08623647010114154,0.9514524297299124,0.007577078852004728,0.1900838383108911,0.0008277481098828695,0.0011538514623273019,2020-10-09,Nueces,Texas,20767,423,16038,423,48,TEXAS,TX,48355,Nueces,360486,148168,128926,16.04320987654321,6.296296296296295,16.04320987654321,6.296296296296295,27438.864197530864,18.267901234567912,13.267901234567905,24.481481481481477,13.522222222222222,10.608641975308643,8.534567901234569,3.734567901234568,5.15679012345679,8.050617283950617,3.0481481481481474,17.05925925925926
TX,2020,48357,0.003795328295897595,0.06585365853658537,0.8831067201408589,0.002184056388364936,0.28640232974910396,0.0003971011615208974,0.0003015984719010757,2020-10-09,Ochiltree,Texas,169,5,169,2,48,TEXAS,TX,48357,Ochiltree,10348,4093,3443,10.200000000000001,6.0,10.200000000000001,6.0,27258.333333333332,22.733333333333334,10.100000000000001,30.099999999999998,9.5,5.533333333333334,3.9666666666666663,11.299999999999999,5.733333333333333,2.2666666666666666,0.5666666666666667,20.099999999999998
TX,2020,48359,0.0035252643948296123,0.07228915662650602,0.23635477582846004,0.0,0.1608974358974359,0.0,0.0004692632566870014,2020-10-09,Oldham,Texas,21,1,21,1,48,TEXAS,TX,48359,Oldham,2090,699,527,12.0,3.6,12.0,3.6,24151.0,14.3,14.1,36.6,13.2,4.4,0.7,16.5,2.8,1.9,28.6,10.8
TX,2020,48361,0.006758613110610473,0.09462013355171979,0.6354705084497232,0.0028925182546121558,0.15117319685655956,0.0002116476771667431,0.0002153831426793663,2020-10-09,Orange,Texas,2022,44,2022,2,48,TEXAS,TX,48361,Orange,84047,36987,31989,14.50952380952381,6.1952380952380945,14.50952380952381,6.1952380952380945,28901.714285714286,12.17619047619048,15.614285714285716,24.371428571428574,17.257142857142856,10.342857142857142,3.9047619047619055,17.75714285714286,3.147619047619048,5.680952380952381,1.2047619047619047,16.666666666666664
